job_title,role_standard,skills_cleaned,skills_count
Cybersecurity,Cyber Security,"docker, r, node, go, pandas, c, mongodb",7
Cybersecurity,Cyber Security,"css, javascript, r, sql, java, c",6
DevOps,DevOps Engineer,"css, javascript, r, go, java, c, mongodb, kubernetes, tensorflow",9
Web Dev,Web Developer,"javascript, r, sql, java, c",5
Cybersecurity,Cyber Security,"python, docker, r, node, go, pandas, c, mongodb, kubernetes",9
Data Science,Data Scientist,"docker, html, r, go, sql, pandas, c, mongodb",8
Web Dev,Web Developer,"python, docker, r, go, sql, pandas, c, mongodb, tensorflow",9
Web Dev,Web Developer,"javascript, r, node, react, sql, java, c",7
Cybersecurity,Cyber Security,"css, html, node, go, sql, pandas, c, mongodb",8
Cybersecurity,Cyber Security,"docker, r, node, react, pandas, c, tensorflow",7
AI/ML,Software Engineer (General),"python, r, go, c, mongodb, kubernetes",6
Data Science,Data Scientist,"css, docker, r, node, sql, c",6
Data Science,Data Scientist,"python, css, html, r, react, pandas, c",7
AI/ML,Software Engineer (General),"html, javascript, r, java, c, kubernetes",6
AI/ML,Software Engineer (General),"css, javascript, r, go, java, c, mongodb",7
Data Science,Data Scientist,"r, go, react, c, mongodb",5
AI/ML,Software Engineer (General),"python, docker, r, node, react, java, pandas, c",8
Cybersecurity,Cyber Security,"python, docker, r, go, java, c, mongodb",7
AI/ML,Software Engineer (General),"docker, javascript, r, java, pandas, c",6
Data Science,Data Scientist,"r, node, go, react, c, mongodb, kubernetes, tensorflow",8
Data Science,Data Scientist,"javascript, r, java, c, tensorflow",5
Cybersecurity,Cyber Security,"r, go, pandas, c, mongodb, kubernetes",6
Web Dev,Web Developer,"css, c, sql",3
Cybersecurity,Cyber Security,"python, node, java",3
Web Dev,Web Developer,"docker, r, react, sql, java, pandas, c",7
AI/ML,Software Engineer (General),"html, r, node, sql, java, kubernetes",6
Web Dev,Web Developer,"html, r, sql, pandas, kubernetes",5
Data Science,Data Scientist,"python, javascript, r, node, go, java, c, mongodb",8
Web Dev,Web Developer,"python, css, html, r, react, pandas, c",7
Web Dev,Web Developer,"r, go, react, java, pandas, sql, c, mongodb, kubernetes",9
Cybersecurity,Cyber Security,"css, docker, r, node, pandas, c",6
Web Dev,Web Developer,"css, docker, r, node, c",5
Cybersecurity,Cyber Security,"javascript, r, node, go, java, pandas, c, mongodb",8
DevOps,DevOps Engineer,"python, r, node, java, tensorflow",5
Web Dev,Web Developer,"javascript, r, node, sql, java, c, tensorflow",7
AI/ML,Software Engineer (General),"css, r, node, go, react, pandas, c, mongodb",8
DevOps,DevOps Engineer,"r, node, react, pandas, c, kubernetes",6
DevOps,DevOps Engineer,"css, docker, javascript, r, node, java, c",7
Data Science,Data Scientist,"python, docker, javascript, r, java, c, tensorflow",7
Web Dev,Web Developer,"css, c, java, pandas",4
DevOps,DevOps Engineer,"go, sql, java, mongodb",4
Web Dev,Web Developer,"css, html, javascript, r, go, java, pandas, c, mongodb, kubernetes",10
Data Science,Data Scientist,"css, docker, r, go, sql, java, c, mongodb",8
DevOps,DevOps Engineer,"react, c, sql, r",4
AI/ML,Software Engineer (General),"css, python, html, r, react, c, kubernetes",7
Cybersecurity,Cyber Security,"docker, javascript, r, node, react, java, c, tensorflow",8
Data Science,Data Scientist,"python, go, html, mongodb",4
Data Science,Data Scientist,"css, r, go, sql, c, mongodb, kubernetes, tensorflow",8
Web Dev,Web Developer,"javascript, r, go, java, c, mongodb, kubernetes, tensorflow",8
Web Dev,Web Developer,"docker, r, go, react, java, c, mongodb",7
AI/ML,Software Engineer (General),"css, python, html, javascript, r, java, pandas, c, kubernetes",9
AI/ML,Software Engineer (General),"css, r, pandas, c, kubernetes",5
Web Dev,Web Developer,"html, r, javascript, java, c",5
Web Dev,Web Developer,"css, javascript, r, java, c",5
Cybersecurity,Cyber Security,"node, c, java",3
AI/ML,Software Engineer (General),"r, node, sql, java, tensorflow",5
AI/ML,Software Engineer (General),"css, html, r, react, c, kubernetes, tensorflow",7
DevOps,DevOps Engineer,"css, docker, r, sql, c, tensorflow",6
Cybersecurity,Cyber Security,"python, c, java, pandas",4
Web Dev,Web Developer,"r, node, react, sql, java, pandas, c",7
AI/ML,Software Engineer (General),"css, r, go, java, pandas, c, mongodb, kubernetes, tensorflow",9
Web Dev,Web Developer,"css, docker, html, javascript, r, react, java, pandas, c",9
Cybersecurity,Cyber Security,"docker, javascript, r, go, sql, java, c, mongodb",8
Cybersecurity,Cyber Security,"python, javascript, r, sql, java, c, kubernetes, tensorflow",8
Cybersecurity,Cyber Security,"javascript, r, node, react, java, c, tensorflow",7
Cybersecurity,Cyber Security,"python, docker, r, java, c",5
Cybersecurity,Cyber Security,"python, docker, r, node, react, pandas, c, tensorflow",8
Cybersecurity,Cyber Security,"javascript, r, go, sql, java, pandas, c, mongodb",8
Web Dev,Web Developer,"docker, r, sql, pandas, c",5
Cybersecurity,Cyber Security,"javascript, r, go, react, java, pandas, c, mongodb",8
Cybersecurity,Cyber Security,"html, r, c, kubernetes, tensorflow",5
Web Dev,Web Developer,"kubernetes, r, java, pandas",4
Data Science,Data Scientist,"r, node, go, react, c, mongodb, kubernetes, tensorflow",8
DevOps,DevOps Engineer,"javascript, r, react, java, c, tensorflow",6
Web Dev,Web Developer,"docker, r, react, sql, pandas, c, kubernetes",7
AI/ML,Software Engineer (General),"python, css, javascript, r, sql, java, c",7
DevOps,DevOps Engineer,"docker, r, node, sql, pandas, c",6
AI/ML,Software Engineer (General),"javascript, r, node, sql, java, c",6
Cybersecurity,Cyber Security,"html, r, node, react, sql, pandas, c",7
DevOps,DevOps Engineer,"html, javascript, r, go, sql, java, c, mongodb, kubernetes",9
AI/ML,Software Engineer (General),"python, css, sql, pandas, c",5
Data Science,Data Scientist,"python, docker, r, java, c",5
AI/ML,Software Engineer (General),"python, docker, javascript, r, java, c, tensorflow",7
DevOps,DevOps Engineer,"sql, tensorflow, html, r",4
Data Science,Data Scientist,"python, css, r, react, java, c, tensorflow",7
AI/ML,Software Engineer (General),"react, c, tensorflow, r",4
AI/ML,Software Engineer (General),"r, node, go, react, java, pandas, sql, c, mongodb",9
Cybersecurity,Cyber Security,"python, docker, r, node, c",5
Web Dev,Web Developer,"python, r, go, c, mongodb, kubernetes",6
Cybersecurity,Cyber Security,"docker, html, r, node, react, c, tensorflow",7
Web Dev,Web Developer,"r, node, go, sql, c, mongodb, tensorflow",7
Web Dev,Web Developer,"css, javascript, r, node, go, java, c, mongodb, kubernetes",9
Cybersecurity,Cyber Security,"css, docker, html, javascript, r, java, c",7
DevOps,DevOps Engineer,"docker, javascript, r, go, java, c, mongodb, kubernetes",8
Web Dev,Web Developer,"docker, javascript, r, java, c, tensorflow",6
Web Dev,Web Developer,"css, javascript, r, node, java, pandas, c",7
Data Science,Data Scientist,"python, docker, html, r, react, c, tensorflow",7
Web Dev,Web Developer,"css, sql, java, pandas, c",5
Cybersecurity,Cyber Security,"html, javascript, r, sql, java, pandas, c, kubernetes, tensorflow",9
Web Dev,Web Developer,"css, python, r, node, go, react, c, mongodb, kubernetes",9
AI/ML,Software Engineer (General),"r, go, sql, pandas, mongodb, tensorflow",6
Web Dev,Web Developer,"r, node, react, java, pandas, c",6
AI/ML,Software Engineer (General),"r, go, pandas, mongodb, tensorflow",5
DevOps,DevOps Engineer,"python, docker, html, r, node, java, c, tensorflow",8
AI/ML,Software Engineer (General),"css, html, r, go, react, c, mongodb, kubernetes",8
AI/ML,Software Engineer (General),"docker, r, react, c, kubernetes, tensorflow",6
Data Science,Data Scientist,"css, r, react, c, kubernetes",5
Data Science,Data Scientist,"python, docker, r, java, pandas, c",6
Data Science,Data Scientist,"docker, r, go, react, sql, c, mongodb",7
Web Dev,Web Developer,"css, docker, html, r, go, react, c, mongodb",8
Data Science,Data Scientist,"python, r, node, go, sql, java, mongodb, kubernetes",8
Web Dev,Web Developer,"python, docker, javascript, r, react, java, c, tensorflow",8
Data Science,Data Scientist,"docker, javascript, r, java, pandas, c",6
DevOps,DevOps Engineer,"javascript, r, node, go, java, c, mongodb",7
AI/ML,Software Engineer (General),"python, css, r, pandas, c, tensorflow",6
Cybersecurity,Cyber Security,"javascript, r, react, java, c, kubernetes, tensorflow",7
Cybersecurity,Cyber Security,"docker, javascript, r, react, java, c",6
DevOps,DevOps Engineer,"python, javascript, r, go, react, java, c, mongodb, kubernetes",9
Data Science,Data Scientist,"docker, r, pandas, c, tensorflow",5
Cybersecurity,Cyber Security,"python, javascript, r, go, react, java, pandas, c, mongodb, tensorflow",10
Web Dev,Web Developer,"css, docker, html, r, go, sql, c, mongodb",8
Data Science,Data Scientist,"javascript, r, react, java, c, kubernetes",6
AI/ML,Software Engineer (General),"css, r, node, go, react, java, c, mongodb, kubernetes",9
DevOps,DevOps Engineer,"r, go, react, java, pandas, sql, c, mongodb",8
Data Science,Data Scientist,"css, python, javascript, r, sql, java, c, kubernetes",8
AI/ML,Software Engineer (General),"python, c, pandas",3
AI/ML,Software Engineer (General),"css, r, react, sql, c, kubernetes",6
AI/ML,Software Engineer (General),"docker, html, r, go, react, sql, pandas, c, mongodb",9
Web Dev,Web Developer,"r, go, react, c, mongodb, tensorflow",6
AI/ML,Software Engineer (General),"html, javascript, r, sql, java, pandas, c, tensorflow",8
Data Science,Data Scientist,"css, docker, python, html, r, pandas, c, tensorflow",8
Cybersecurity,Cyber Security,"python, docker, javascript, r, react, sql, java, c, kubernetes",9
AI/ML,Software Engineer (General),"css, r, node, react, sql, pandas, c",7
Cybersecurity,Cyber Security,"css, docker, r, node, sql, c",6
AI/ML,Software Engineer (General),"python, css, c, java",4
Data Science,Data Scientist,"r, go, react, java, c, mongodb",6
Data Science,Data Scientist,"css, node, c",3
Web Dev,Web Developer,"docker, html, javascript, r, react, java, c, kubernetes",8
DevOps,DevOps Engineer,"r, react, pandas, c, kubernetes",5
AI/ML,Software Engineer (General),"node, go, java, mongodb",4
Cybersecurity,Cyber Security,"html, r, react, pandas, c, kubernetes, tensorflow",7
Web Dev,Web Developer,"docker, html, r, node, sql, java, c",7
AI/ML,Software Engineer (General),"python, docker, html, r, node, c, kubernetes",7
Web Dev,Web Developer,"r, react, java, pandas, c, kubernetes",6
Cybersecurity,Cyber Security,"css, r, sql, pandas, c, kubernetes, tensorflow",7
Data Science,Data Scientist,"python, css, r, sql, java, c, tensorflow",7
Data Science,Data Scientist,"css, c, sql, pandas",4
Cybersecurity,Cyber Security,"r, go, react, pandas, c, mongodb, kubernetes",7
Cybersecurity,Cyber Security,"javascript, r, go, java, c, mongodb",6
AI/ML,Software Engineer (General),"docker, html, javascript, r, react, java, pandas, c",8
DevOps,DevOps Engineer,"css, docker, html, javascript, r, go, react, java, c, mongodb",10
Data Science,Data Scientist,"r, node, react, pandas, c",5
Web Dev,Web Developer,"r, node, react, c, kubernetes",5
Data Science,Data Scientist,"css, docker, python, html, javascript, r, java, c",8
AI/ML,Software Engineer (General),"python, css, r, go, c, mongodb, tensorflow",7
AI/ML,Software Engineer (General),"docker, r, node, go, c, mongodb, tensorflow",7
AI/ML,Software Engineer (General),"r, go, sql, java, c, mongodb, kubernetes",7
AI/ML,Software Engineer (General),"css, python, html, javascript, r, sql, java, c, tensorflow",9
Web Dev,Web Developer,"html, go, sql, c, mongodb",5
AI/ML,Software Engineer (General),"css, docker, r, c, kubernetes",5
Web Dev,Web Developer,"css, javascript, r, java, pandas, c, kubernetes",7
DevOps,DevOps Engineer,"python, r, sql, java, kubernetes, tensorflow",6
Data Science,Data Scientist,"sql, c, html",3
DevOps,DevOps Engineer,"pandas, node, go, mongodb",4
AI/ML,Software Engineer (General),"css, node, go, c, mongodb",5
Web Dev,Web Developer,"docker, html, javascript, r, java, c",6
Data Science,Data Scientist,"javascript, r, node, java, c, kubernetes",6
Web Dev,Web Developer,"javascript, r, react, java, pandas, c, kubernetes",7
Web Dev,Web Developer,"css, docker, r, node, c, kubernetes",6
AI/ML,Software Engineer (General),"html, javascript, r, node, java, c, tensorflow",7
AI/ML,Software Engineer (General),"css, html, go, c, mongodb",5
Data Science,Data Scientist,"python, r, node, react, java, c, kubernetes",7
Web Dev,Web Developer,"css, python, go, java, pandas, c, mongodb",7
DevOps,DevOps Engineer,"html, r, react, java, c",5
Web Dev,Web Developer,"javascript, r, node, react, java, c, tensorflow",7
DevOps,DevOps Engineer,"css, javascript, r, node, go, sql, java, pandas, c, mongodb",10
AI/ML,Software Engineer (General),"docker, c, tensorflow, r",4
DevOps,DevOps Engineer,"docker, html, r, node, react, c, tensorflow",7
Data Science,Data Scientist,"css, python, html, javascript, r, node, java, c",8
AI/ML,Software Engineer (General),"css, html, r, react, sql, pandas, c",7
Data Science,Data Scientist,"docker, html, r, node, java, pandas, c, kubernetes",8
DevOps,DevOps Engineer,"python, html, javascript, r, node, java, c, tensorflow",8
AI/ML,Software Engineer (General),"python, html, r, c, tensorflow",5
AI/ML,Software Engineer (General),"python, r, go, mongodb, kubernetes",5
AI/ML,Software Engineer (General),"python, css, r, react, c",5
DevOps,DevOps Engineer,"css, docker, python, html, r, node, c",7
DevOps,DevOps Engineer,"python, css, docker, r, node, sql, c, tensorflow",8
Data Science,Data Scientist,"css, docker, r, go, react, pandas, c, mongodb",8
Cybersecurity,Cyber Security,"javascript, r, react, java, pandas, c",6
DevOps,DevOps Engineer,"html, javascript, r, go, react, java, c, mongodb, tensorflow",9
Web Dev,Web Developer,"python, c, tensorflow, r",4
DevOps,DevOps Engineer,"go, c, html, mongodb",4
DevOps,DevOps Engineer,"python, javascript, r, go, sql, java, pandas, c, mongodb, kubernetes",10
Web Dev,Web Developer,"css, html, r, node, java, pandas, c, tensorflow",8
Cybersecurity,Cyber Security,"html, r, react, sql, java, c, tensorflow",7
DevOps,DevOps Engineer,"docker, html, r, node, c",5
AI/ML,Software Engineer (General),"css, python, r, node, go, react, c, mongodb, kubernetes",9
DevOps,DevOps Engineer,"css, node, go, java, c, mongodb",6
Data Science,Data Scientist,"css, python, javascript, r, go, java, c, mongodb, kubernetes",9
AI/ML,Software Engineer (General),"docker, r, pandas, c, tensorflow",5
DevOps,DevOps Engineer,"css, python, r, node, go, react, pandas, c, mongodb",9
Data Science,Data Scientist,"css, html, r, react, java, c, kubernetes",7
Web Dev,Web Developer,"python, c, tensorflow, r",4
Cybersecurity,Cyber Security,"css, docker, javascript, r, go, sql, java, c, mongodb, tensorflow",10
AI/ML,Software Engineer (General),"r, node, pandas, c, kubernetes, tensorflow",6
Cybersecurity,Cyber Security,"python, html, javascript, r, node, java, c, tensorflow",8
DevOps,DevOps Engineer,"css, html, r, react, java, c",6
DevOps,DevOps Engineer,"javascript, r, node, java, c, tensorflow",6
AI/ML,Software Engineer (General),"python, docker, r, c, kubernetes",5
Web Dev,Web Developer,"html, javascript, r, java, pandas, c, kubernetes",7
Data Science,Data Scientist,"css, javascript, r, java, c, tensorflow",6
Cybersecurity,Cyber Security,"python, html, r, sql, java, pandas, tensorflow",7
Web Dev,Web Developer,"css, r, pandas, c, kubernetes",5
Web Dev,Web Developer,"html, javascript, r, node, sql, java, c, kubernetes",8
Data Science,Data Scientist,"css, html, node, go, sql, pandas, c, mongodb",8
Data Science,Data Scientist,"python, docker, r, node, go, c, mongodb",7
Data Science,Data Scientist,"python, r, go, mongodb, kubernetes, tensorflow",6
Web Dev,Web Developer,"css, python, html, node, pandas, c",6
Data Science,Data Scientist,"python, r, react, java, c, tensorflow",6
Data Science,Data Scientist,"javascript, r, react, java, c, kubernetes, tensorflow",7
AI/ML,Software Engineer (General),"docker, r, go, react, sql, c, mongodb, kubernetes",8
DevOps,DevOps Engineer,"docker, c, r, pandas",4
Data Science,Data Scientist,"html, r, javascript, java, c, tensorflow",6
Cybersecurity,Cyber Security,"docker, html, r, c, tensorflow",5
DevOps,DevOps Engineer,"html, javascript, r, go, sql, java, c, mongodb",8
Cybersecurity,Cyber Security,"html, java, pandas",3
AI/ML,Software Engineer (General),"javascript, r, node, react, sql, java, c, kubernetes",8
Web Dev,Web Developer,"html, r, node, go, react, java, sql, c, mongodb",9
Web Dev,Web Developer,"css, docker, javascript, r, node, sql, java, c, tensorflow",9
Data Science,Data Scientist,"python, r, go, mongodb, tensorflow",5
Web Dev,Web Developer,"css, node, c, java",4
Web Dev,Web Developer,"css, r, react, pandas, c, tensorflow",6
Web Dev,Web Developer,"python, r, node, go, java, mongodb, kubernetes",7
Web Dev,Web Developer,"r, node, go, sql, mongodb, kubernetes",6
AI/ML,Software Engineer (General),"python, node, html",3
Cybersecurity,Cyber Security,"docker, html, r, node, c",5
DevOps,DevOps Engineer,"css, javascript, r, go, java, pandas, c, mongodb",8
Data Science,Data Scientist,"html, r, react, sql, c",5
Data Science,Data Scientist,"html, javascript, r, node, java, c, kubernetes",7
DevOps,DevOps Engineer,"css, javascript, r, sql, java, pandas, c, kubernetes",8
Web Dev,Web Developer,"python, docker, javascript, r, java, c",6
AI/ML,Software Engineer (General),"css, html, javascript, r, java, pandas, c, tensorflow",8
Data Science,Data Scientist,"kubernetes, python, node, r",4
Cybersecurity,Cyber Security,"docker, html, javascript, r, java, pandas, c, tensorflow",8
Web Dev,Web Developer,"css, docker, html, javascript, r, sql, java, c, tensorflow",9
Data Science,Data Scientist,"r, go, java, c, mongodb, tensorflow",6
AI/ML,Software Engineer (General),"css, docker, html, r, pandas, c, kubernetes",7
Cybersecurity,Cyber Security,"python, docker, r, node, go, react, c, mongodb",8
Web Dev,Web Developer,"python, go, c, mongodb",4
DevOps,DevOps Engineer,"docker, html, r, node, c",5
Web Dev,Web Developer,"css, node, go, c, mongodb",5
Cybersecurity,Cyber Security,"css, sql, java, pandas, c",5
Cybersecurity,Cyber Security,"javascript, r, go, react, java, c, mongodb, kubernetes",8
Data Science,Data Scientist,"html, r, node, react, pandas, c, tensorflow",7
DevOps,DevOps Engineer,"javascript, r, node, go, java, c, mongodb",7
Web Dev,Web Developer,"docker, r, react, pandas, c, kubernetes",6
Data Science,Data Scientist,"css, html, r, java, c, tensorflow",6
AI/ML,Software Engineer (General),"python, r, react, sql, c",5
DevOps,DevOps Engineer,"docker, javascript, r, node, go, react, java, c, mongodb",9
AI/ML,Software Engineer (General),"python, html, r, node, react, c",6
Web Dev,Web Developer,"docker, html, r, node, react, c, tensorflow",7
DevOps,DevOps Engineer,"javascript, r, java, pandas, c, kubernetes, tensorflow",7
Cybersecurity,Cyber Security,"css, docker, javascript, r, react, sql, java, c",8
Web Dev,Web Developer,"python, javascript, r, node, java, c",6
Data Science,Data Scientist,"html, r, java, pandas, kubernetes, tensorflow",6
DevOps,DevOps Engineer,"html, javascript, r, node, sql, java, c, tensorflow",8
Web Dev,Web Developer,"python, javascript, r, react, java, pandas, c, tensorflow",8
DevOps,DevOps Engineer,"python, javascript, r, go, sql, java, c, mongodb, tensorflow",9
Cybersecurity,Cyber Security,"python, javascript, r, node, react, java, c",7
Data Science,Data Scientist,"python, css, docker, r, react, c, tensorflow",7
DevOps,DevOps Engineer,"javascript, r, go, react, java, c, mongodb, kubernetes, tensorflow",9
Data Science,Data Scientist,"react, c, html, r",4
AI/ML,Software Engineer (General),"python, html, r, go, mongodb, kubernetes",6
Data Science,Data Scientist,"html, javascript, r, sql, java, pandas, c, kubernetes, tensorflow",9
Cybersecurity,Cyber Security,"css, docker, html, r, sql, c",6
Cybersecurity,Cyber Security,"docker, r, node, react, sql, c",6
