job_title,role_standard,skills_cleaned,skills_count
Full Stack Developer - Entry Level,Full Stack Developer,"angular, css, html, javascript, r, node, vue, go, flask, java, react, git, sql, c, mongodb",15
Full Stack Developer - Entry Level,Full Stack Developer,"angular, css, html, javascript, r, node, nosql, go, flask, java, react, django, git, sql, vue, c",16
Full Stack Developer - Entry Level,Full Stack Developer,"angular, css, html, javascript, r, node, vue, go, flask, java, react, django, git, sql, c, mongodb",16
Full Stack Developer - Entry Level,Full Stack Developer,"angular, css, html, javascript, r, node, vue, go, react, java, sql, django, git, c, mongodb",15
Full Stack Developer - Entry Level,Full Stack Developer,"angular, css, html, javascript, r, node, nosql, react, flask, java, sql, git, vue, c",14
Full Stack Developer - Entry Level,Full Stack Developer,"angular, css, html, javascript, r, node, vue, go, flask, java, react, django, git, sql, c, mongodb",16
Full Stack Developer - Entry Level,Full Stack Developer,"angular, css, html, javascript, r, node, nosql, go, flask, java, react, django, git, sql, vue, c",16
Game Developer,Game Developer,"python, r, java, git, c",5
Game Developer,Game Developer,"git, python, c, r",4
Game Developer,Game Developer,"python, r, java, git, c",5
Game Developer,Game Developer,"python, r, java, git, c",5
Game Developer,Game Developer,"python, r, java, git, c",5
Graphic Designer,UI/UX Designer,"css, html, r, c, figma",5
Graphic Designer,UI/UX Designer,"c, r, figma",3
Graphic Designer,UI/UX Designer,"c, r, figma",3
Graphic Designer,UI/UX Designer,"c, r, figma",3
Graphic Designer,UI/UX Designer,"c, r, figma",3
Graphic Designer,UI/UX Designer,"c, r, figma",3
Graphic Designer,UI/UX Designer,"c, r, figma",3
iOS Mobile Developer,iOS Developer,"api, r, git, c, swift",5
Junior iOS Developer,iOS Developer,"api, r, git, c, swift",5
iOS App Developer Intern,iOS Developer,"git, c, swift",3
Entry-level iOS Developer,iOS Developer,"c, swift, r",3
Graduate iOS Developer,iOS Developer,"git, c, swift",3
Trainee iOS Developer,iOS Developer,"swift, c, api, r",4
Junior Swift Developer,Software Engineer (General),"git, c, swift",3
iOS Developer Trainee,iOS Developer,"c, swift, r",3
Associate iOS Engineer,iOS Developer,"api, r, git, c, swift",5
iOS Junior Developer,iOS Developer,"c, swift, r",3
IoT Engineer,Embedded Systems Engineer,"tableau, python, r, go, java, c, azure, cloud, aws",9
IoT Engineer,Embedded Systems Engineer,"tableau, python, r, c, azure, cloud, aws",7
IoT Engineer,Embedded Systems Engineer,"tableau, python, agile, r, c, azure, aws",7
IoT Engineer,Embedded Systems Engineer,"tableau, python, r, go, java, c, azure, cloud, aws",9
IoT Engineer,Embedded Systems Engineer,"tableau, agile, python, r, go, c, azure, cloud, aws",9
JavaScript Developer,Software Engineer (General),"angular, css, api, html, javascript, r, vue, react, java, git, c",11
JavaScript Developer,Software Engineer (General),"angular, css, api, html, javascript, r, vue, react, java, git, c",11
JavaScript Developer,Software Engineer (General),"angular, css, api, html, javascript, r, vue, react, java, git, c",11
JavaScript Developer,Software Engineer (General),"angular, css, api, html, javascript, r, vue, react, java, git, c",11
JavaScript Developer,Software Engineer (General),"angular, css, api, html, javascript, r, vue, react, java, git, c",11
Java Developer,Software Engineer (General),"r, java, git, c, networking",5
Java Developer,Software Engineer (General),"css, html, api, javascript, r, sql, java, c",8
Java Developer,Software Engineer (General),"c, r",2
Java Developer,Software Engineer (General),"api, r, java, git, c",5
Java Developer,Software Engineer (General),"r, database, sql, java, c",5
Java Developer,Software Engineer (General),"c, java",2
Java Developer,Software Engineer (General),"css, html, api, javascript, r, java, c",7
Java Developer,Software Engineer (General),"git, c, sql, r",4
Java Developer,Software Engineer (General),"c, r",2
Java Developer,Software Engineer (General),"r, database, java, git, c",5
Marketing Specialist,Software Engineer (General),"go, automation, c, r",4
Marketing Specialist,Software Engineer (General),"go, c, r",3
Marketing Specialist,Software Engineer (General),"git, automation, c, r",4
Marketing Specialist,Software Engineer (General),"c, r",2
Marketing Specialist,Software Engineer (General),"r, go, git, automation, c",5
Market Research Analyst,Software Engineer (General),"c, r",2
Market Research Analyst,Software Engineer (General),"c, r",2
Market Research Analyst,Software Engineer (General),"c, r",2
Market Research Analyst,Software Engineer (General),"c, r",2
Market Research Analyst,Software Engineer (General),"c, r",2
Market Research Analyst,Software Engineer (General),"c, r",2
Market Research Analyst,Software Engineer (General),"c, r",2
Machine Learning Engineer - Fresher,Machine Learning Engineer,"python, r, java, git, pytorch, c, tensorflow",7
Junior Machine Learning Engineer,Machine Learning Engineer,"python, r, java, git, pytorch, c, tensorflow",7
ML Engineer Intern,Machine Learning Engineer,"python, r, java, git, pytorch, c, tensorflow",7
Fresher ML Engineer,Machine Learning Engineer,"python, r, java, git, pytorch, c, tensorflow",7
Entry-Level ML Engineer,Machine Learning Engineer,"python, r, java, git, pytorch, c, tensorflow",7
ML Engineer Trainee,Machine Learning Engineer,"python, r, java, git, pytorch, c, tensorflow",7
Junior Network Engineer,Network Engineer,"wireshark, c, r",3
Network Support Engineer,Network Engineer,"c, r",2
Associate Network Engineer,Network Engineer,"ios, python, c, bash",4
Trainee Network Engineer,Network Engineer,"ios, c, r",3
Network Operations Center (NOC) Engineer,Network Engineer,"ios, c, r",3
Junior Security & Network Engineer,Cyber Security,"wireshark, c, r",3
Graduate Network Engineer,Network Engineer,"python, c, r",3
Entry-Level Network Analyst,Network Engineer,"ios, wireshark, c, r",4
Network Intern,Network Engineer,"ios, c",2
IT Support - Networking Focus,Network Engineer,"c, r",2
Operations Manager,Software Engineer (General),"c, r",2
Operations Manager,Software Engineer (General),"c, r",2
Operations Manager,Software Engineer (General),"c, r",2
Operations Manager,Software Engineer (General),"c, r",2
Product Designer,UI/UX Designer,"css, html, r, user research, c, figma",6
Product Designer,UI/UX Designer,"css, html, r, c, figma",5
Product Designer,UI/UX Designer,"javascript, r, java, c, figma",5
Product Designer,UI/UX Designer,"user research, c, r, figma",4
Product Designer,UI/UX Designer,"css, html, r, c, figma",5
Product Designer,UI/UX Designer,"c, r, figma",3
Product Designer,UI/UX Designer,"css, html, r, c, figma",5
Product Designer,UI/UX Designer,"c, r, figma",3
Product Designer,UI/UX Designer,"c, r, figma",3
Product Designer,UI/UX Designer,"css, html, r, user research, c, figma",6
Product Manager,Product Manager,"agile, r, go, c, figma",5
Product Manager,Product Manager,"c, r, figma",3
Product Manager,Product Manager,"agile, c, r, figma",4
Product Manager,Product Manager,"agile, c, sql, r",4
Product Manager,Product Manager,"agile, c, r, figma",4
Project Manager,Software Engineer (General),"agile, c, r",3
Project Manager,Software Engineer (General),"agile, c, r",3
Project Manager,Software Engineer (General),"agile, c, r",3
Project Manager,Software Engineer (General),"c, r",2
Project Manager,Software Engineer (General),"agile, c, r",3
Python Developer,Software Engineer (General),"css, python, html, javascript, r, go, flask, java, numpy, django, git, pandas, sql, c, mongodb",15
Python Developer,Software Engineer (General),"python, api, r, go, flask, sql, numpy, django, git, pandas, c, mongodb, fastapi",13
Python Developer,Software Engineer (General),"python, api, r, go, flask, sql, numpy, django, git, pandas, c, mongodb, fastapi",13
Python Developer,Software Engineer (General),"python, api, r, go, flask, sql, numpy, django, git, pandas, c, mongodb, fastapi",13
Python Developer,Software Engineer (General),"python, api, r, go, flask, sql, numpy, django, git, pandas, c, mongodb, fastapi",13
Python Developer,Software Engineer (General),"python, api, r, go, flask, sql, numpy, django, git, pandas, c, mongodb, fastapi",13
Python Developer,Software Engineer (General),"python, api, r, go, flask, sql, numpy, django, git, pandas, c, mongodb, fastapi",13
Python Developer,Software Engineer (General),"python, api, r, go, flask, sql, numpy, django, git, pandas, c, mongodb, fastapi",13
Python Developer,Software Engineer (General),"python, api, r, go, flask, sql, numpy, django, git, pandas, c, mongodb, fastapi",13
Python Developer,Software Engineer (General),"python, api, r, go, flask, sql, numpy, django, git, pandas, c, mongodb, fastapi",13
QA Engineer - Fresher,QA Engineer,"testing, appium, python, javascript, r, java, postman, c, selenium",9
QA Engineer - Fresher,QA Engineer,"testing, appium, python, javascript, r, java, postman, automation, c, selenium",10
QA Engineer - Fresher,QA Engineer,"testing, appium, python, javascript, r, java, postman, automation, c, selenium",10
QA Engineer - Fresher,QA Engineer,"testing, appium, python, javascript, r, java, postman, automation, c, selenium",10
QA Engineer - Fresher,QA Engineer,"testing, appium, python, javascript, r, java, postman, automation, c, selenium",10
QA Engineer - Fresher,QA Engineer,"testing, appium, python, javascript, r, java, postman, automation, c, selenium",10
QA Engineer - Fresher,QA Engineer,"testing, appium, python, javascript, r, java, postman, automation, c, selenium",10
QA Engineer - Fresher,QA Engineer,"testing, appium, python, javascript, r, java, postman, automation, c, selenium",10
QA Engineer - Fresher,QA Engineer,"testing, appium, python, javascript, r, java, postman, automation, c, selenium",10
QA Engineer - Fresher,QA Engineer,"testing, appium, python, javascript, r, java, postman, automation, c, selenium",10
Robotics Engineer,Embedded Systems Engineer,"python, c, r",3
Robotics Engineer,Embedded Systems Engineer,"python, c, r",3
Robotics Engineer,Embedded Systems Engineer,"python, c, r",3
Robotics Engineer,Embedded Systems Engineer,"python, c, r",3
Robotics Engineer,Embedded Systems Engineer,"python, c, r",3
Sales Executive,Software Engineer (General),"git, automation, c, r",4
Sales Executive,Software Engineer (General),"git, c, r",3
Sales Executive,Software Engineer (General),"git, c, r",3
Sales Executive,Software Engineer (General),"git, c, r",3
Sales Executive,Software Engineer (General),"git, c, r",3
Sales Executive,Software Engineer (General),"git, c, r",3
Sales Executive,Software Engineer (General),"git, c, r",3
SEO Specialist,Software Engineer (General),"css, html, javascript, r, go, java, c",7
SEO Specialist,Software Engineer (General),"go, c, r",3
SEO Specialist,Software Engineer (General),"css, html, r, go, c",5
SEO Specialist,Software Engineer (General),"css, html, r, go, c",5
Site Reliability Engineer,Software Engineer (General),"python, docker, r, kubernetes, c, bash, azure, linux, ios, networking, cloud, gcp, aws",13
Site Reliability Engineer,Software Engineer (General),"python, docker, r, automation, c, azure, bash, linux, kubernetes, networking, cloud, gcp, aws",13
Site Reliability Engineer,Software Engineer (General),"python, docker, r, kubernetes, c, bash, linux, ios, networking, cloud",10
Site Reliability Engineer,Software Engineer (General),"python, docker, r, c, azure, linux, kubernetes, networking, cloud, gcp, aws",11
Site Reliability Engineer,Software Engineer (General),"python, docker, r, kubernetes, c, bash, azure, linux, ios, networking, cloud, gcp, aws",13
Software Developer - Entry Level,Software Engineer (General),"css, python, html, javascript, r, sql, java, git, c",9
Software Developer - Entry Level,Software Engineer (General),"css, python, html, javascript, r, sql, java, git, c",9
Software Developer - Entry Level,Software Engineer (General),"css, python, html, javascript, r, sql, java, git, c",9
Software Developer - Entry Level,Software Engineer (General),"css, python, html, javascript, r, sql, java, git, c",9
Software Developer - Entry Level,Software Engineer (General),"css, python, html, javascript, r, sql, java, git, c",9
Software Developer - Entry Level,Software Engineer (General),"angular, python, javascript, r, nosql, react, sql, java, git, c",10
Software Developer - Entry Level,Software Engineer (General),"android, r, nosql, sql, java, git, c, swift, kotlin",9
Software Developer - Entry Level,Software Engineer (General),"python, r, sql, pandas, git, c",6
Software Developer - Entry Level,Software Engineer (General),"python, r, nosql, sql, java, git, c, azure, aws",9
Software Engineer - Entry Level,Software Engineer (General),"python, javascript, r, go, react, java, sql, git, c",9
Software Engineer - Entry Level,Software Engineer (General),"api, r, sql, java, git",5
Software Engineer - Entry Level,Software Engineer (General),"css, api, html, javascript, r, vue, java, git, c, figma",10
Software Engineer - Entry Level,Software Engineer (General),"python, r, go, sql, django, git, c",7
Software Engineer - Entry Level,Software Engineer (General),"git, c",2
Software Engineer - Entry Level,Software Engineer (General),"python, r, java, git, c, security",6
Software Engineer - Entry Level,Software Engineer (General),"api, node, go, git, postman, c, mongodb",7
Software Engineer - Entry Level,Software Engineer (General),"python, api, r, git, c, azure",6
Software Engineer - Entry Level,Software Engineer (General),"angular, css, html, javascript, r, java, c, figma",8
Software Engineer - Entry Level,Software Engineer (General),"docker, r, git, c, rust",5
Software Tester (SDET),QA Engineer,"testing, agile, python, api, r, java, postman, c, selenium",9
Software Tester (SDET),QA Engineer,"testing, python, api, r, java, postman, c, selenium",8
Software Tester (SDET),QA Engineer,"testing, agile, python, api, r, java, postman, c, selenium",9
Software Tester (SDET),QA Engineer,"testing, python, agile, api, r, java, c, selenium",8
Software Tester (SDET),QA Engineer,"testing, python, api, r, java, postman, c, selenium",8
Software Tester (SDET),QA Engineer,"testing, python, api, r, java, postman, c, selenium",8
Software Tester (SDET),QA Engineer,"testing, python, api, r, java, postman, c, selenium",8
Software Tester (SDET),QA Engineer,"testing, python, api, r, java, postman, c, selenium",8
Software Tester (SDET),QA Engineer,"testing, python, api, r, java, postman, c, selenium",8
Software Tester (SDET),QA Engineer,"testing, python, api, r, java, postman, c, selenium",8
Solutions Architect,Software Architect,"python, docker, javascript, r, go, java, c, azure, kubernetes, cloud, aws",11
Solutions Architect,Software Architect,"security, python, docker, r, java, c, azure, kubernetes, gcp, aws",10
Solutions Architect,Software Architect,"python, r, java, c, azure, security, aws",7
Solutions Architect,Software Architect,"python, docker, r, node, java, c, azure, kubernetes, gcp, aws",10
Solutions Architect,Software Architect,"python, docker, r, java, c, azure, kubernetes, security, aws",9
Solutions Architect,Software Architect,"python, docker, r, java, c, azure, kubernetes, gcp, aws",9
Solutions Architect,Software Architect,"python, docker, r, node, java, c, azure, kubernetes, security, aws",10
Solutions Architect,Software Architect,"python, docker, r, java, c, azure, kubernetes, gcp, aws",9
Solutions Architect,Software Architect,"python, docker, r, java, c, azure, kubernetes, aws",8
Solutions Architect,Software Architect,"python, docker, r, node, java, c, azure, kubernetes, gcp, aws",10
System Engineer,Software Engineer (General),"python, r, c, linux, networking",5
Junior System Engineer,Software Engineer (General),"r, c, bash, linux, aws",5
System Engineer Trainee,Software Engineer (General),"python, r, c, azure, networking",5
Associate System Engineer,Software Engineer (General),"cloud, c, r, linux",4
System Engineer - Entry Level,Software Engineer (General),"python, networking, c, r",4
Junior System Engineer,Software Engineer (General),"python, c, r, linux",4
System Engineer Intern,Software Engineer (General),"r, c, linux, networking, cloud",5
Technical Writer,Technical Writer,"css, c, html, r",4
Technical Writer,Technical Writer,"c, html, r",3
Technical Writer,Technical Writer,"css, c, html, r",4
Technical Writer,Technical Writer,"css, c, html, r",4
Technical Writer,Technical Writer,"css, c, html, r",4
Technical Writer,Technical Writer,"css, c, html, r",4
Technical Writer,Technical Writer,"css, c, html, r",4
Test Automation Engineer - Fresher,Software Engineer (General),"testing, appium, python, javascript, r, java, postman, c, selenium",9
Test Automation Engineer - Fresher,Software Engineer (General),"testing, python, r, java, postman, c, selenium",7
Test Automation Engineer - Fresher,Software Engineer (General),"testing, python, r, java, postman, c, selenium",7
Test Automation Engineer - Fresher,Software Engineer (General),"testing, appium, javascript, r, java, postman, c, selenium",8
Test Automation Engineer - Fresher,Software Engineer (General),"testing, python, r, java, postman, c, selenium",7
Test Automation Engineer - Fresher,Software Engineer (General),"testing, python, r, java, postman, c, selenium",7
Test Automation Engineer - Fresher,Software Engineer (General),"testing, appium, python, r, java, postman, c, selenium",8
Test Automation Engineer - Fresher,Software Engineer (General),"testing, javascript, r, java, postman, c, selenium",7
Test Automation Engineer - Fresher,Software Engineer (General),"testing, python, r, java, postman, c, selenium",7
Test Automation Engineer - Fresher,Software Engineer (General),"testing, appium, python, r, java, postman, c, selenium",8
UI Designer,UI/UX Designer,"css, html, r, c, figma",5
UI Designer,UI/UX Designer,"c, r, figma",3
UI Designer,UI/UX Designer,"css, c, html, r",4
UI Designer,UI/UX Designer,"c, r, figma",3
UI Designer,UI/UX Designer,"c, r, figma",3
UI Designer,UI/UX Designer,"css, c, html, r",4
UI Designer,UI/UX Designer,"c, r, figma",3
UI Designer,UI/UX Designer,r,1
UI Designer,UI/UX Designer,"c, r, figma",3
UI Designer,UI/UX Designer,"css, html, r, c, figma",5
UX Designer,UI/UX Designer,"css, html, r, user research, c, figma",6
Junior UX Designer,UI/UX Designer,"testing, c, r, figma",4
Associate UX Designer,UI/UX Designer,"user research, c, r, figma",4
Trainee UX Designer,UI/UX Designer,"css, html, r, c, figma",5
UX Intern,UI/UX Designer,"testing, c, r, figma",4
Junior Interaction Designer,UI/UX Designer,"user research, c, r, figma",4
Junior UX Analyst,UI/UX Designer,"user research, c, r, figma",4
UX Apprentice,UI/UX Designer,"c, r, figma",3
UX Trainee Designer,UI/UX Designer,"r, figma",2
UX Design Intern,UI/UX Designer,"c, r, figma",3
Vibe Coder,Software Engineer (General),"css, python, html, javascript, r, react, java, c",8
Vibe Coder,Software Engineer (General),"css, python, html, javascript, r, vue, java, c",8
Vibe Coder,Software Engineer (General),"css, python, html, javascript, r, react, java, c",8
Vibe Coder,Software Engineer (General),"css, python, html, javascript, r, vue, java, c",8
Vibe Coder,Software Engineer (General),"css, python, html, javascript, r, react, java, c",8
Web Developer,Web Developer,"angular, css, api, html, javascript, r, node, go, react, java, sql, git, c, mongodb, php",15
Web Developer,Web Developer,"css, python, html, api, javascript, r, node, vue, sql, java, git, c",12
Web Developer,Web Developer,"angular, css, api, html, javascript, r, node, react, sql, java, git, c",12
Web Developer,Web Developer,"css, html, javascript, r, node, go, react, java, git, c, mongodb, php",12
Web Developer,Web Developer,"css, html, api, javascript, r, node, vue, sql, java, git, c",11
Web Developer,Web Developer,"angular, css, python, api, html, javascript, r, node, sql, java, git, c",12
Web Developer,Web Developer,"css, api, html, javascript, r, node, go, react, java, git, c, mongodb",12
Web Developer,Web Developer,"angular, css, api, html, javascript, r, node, sql, java, git, c, php",12
Web Developer,Web Developer,"css, html, api, javascript, r, node, react, sql, java, git, c",11
Web Developer,Web Developer,"css, api, html, javascript, r, node, vue, go, java, git, c, mongodb",12
